Sensor type	Sensor SN	Board SN	Averaging	Ch. A Mode	Ch. A Gain	Ch. B Mode	Ch. B Gain			
11/10/2024 10:54:19 AM	4.000	0.000	0.003000	-0.168000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:20 AM	3.900	0.000	0.003000	-0.168000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:21 AM	3.800	0.000	0.003000	-0.168000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:22 AM	1.000	0.000	0.000000	-0.171000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:23 AM	2.500	0.000	0.002000	-0.169000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:24 AM	-2.300	-0.000	-0.002000	-0.174000	0	0	0	0.0	-0.0	24
11/10/2024 10:54:25 AM	-2.200	-0.000	-0.002000	-0.174000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:26 AM	0.900	0.000	0.000000	-0.171000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:27 AM	2.600	0.000	0.002000	-0.169000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:28 AM	0.300	0.000	0.000000	-0.172000	0	0	0	0.0	-0.0	24
11/10/2024 10:54:29 AM	4.100	0.000	0.004000	-0.168000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:30 AM	4.800	0.000	0.004000	-0.167000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:31 AM	4.800	0.000	0.004000	-0.167000	0	0	0	0.0	-0.0	24
11/10/2024 10:54:32 AM	4.100	0.000	0.004000	-0.168000	0	0	0	0.0	-0.0	24
11/10/2024 10:54:33 AM	2.200	0.000	0.002000	-0.170000	0	0	0	0.0	-0.0	24
11/10/2024 10:54:34 AM	5.200	0.001	0.005000	-0.167000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:35 AM	2.400	0.000	0.002000	-0.170000	0	0	0	0.0	-0.0	24
11/10/2024 10:54:36 AM	-2.800	-0.000	-0.002000	-0.175000	0	0	0	0.0	-0.0	24
11/10/2024 10:54:37 AM	-4.800	-0.000	-0.004000	-0.177000	0	0	0	0.0	-0.0	24
11/10/2024 10:54:38 AM	-9.100	-0.001	-0.008000	-0.181000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:39 AM	-9.000	-0.001	-0.008000	-0.181000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:40 AM	-7.500	-0.001	-0.007000	-0.179000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:41 AM	-8.000	-0.001	-0.007000	-0.180000	0	0	0	0.0	-0.0	24
11/10/2024 10:54:42 AM	-7.300	-0.001	-0.007000	-0.179000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:43 AM	-7.900	-0.001	-0.007000	-0.180000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:44 AM	-9.800	-0.001	-0.009000	-0.182000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:45 AM	-9.700	-0.001	-0.009000	-0.181000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:46 AM	-7.100	-0.001	-0.006000	-0.179000	0	0	0	0.0	-0.0	24
11/10/2024 10:54:47 AM	-5.200	-0.001	-0.005000	-0.177000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:48 AM	-1.100	-0.000	-0.001000	-0.173000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:49 AM	-2.700	-0.000	-0.002000	-0.175000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:50 AM	0.600	0.000	0.000000	-0.171000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:51 AM	-0.100	-0.000	0.000000	-0.172000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:52 AM	0.900	0.000	0.000000	-0.171000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:53 AM	2.100	0.000	0.002000	-0.170000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:54 AM	5.100	0.001	0.004000	-0.167000	0	0	0	0.0	-0.0	24
11/10/2024 10:54:55 AM	9.300	0.001	0.009000	-0.163000	0	0	0	0.0	-0.0	24
11/10/2024 10:54:56 AM	12.700	0.001	0.012000	-0.160000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:57 AM	12.900	0.001	0.012000	-0.159000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:58 AM	12.300	0.001	0.012000	-0.160000	0	0	0	0.0	-0.0	24
11/10/2024 10:54:59 AM	15.600	0.002	0.015000	-0.157000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:00 AM	16.200	0.002	0.015000	-0.156000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:01 AM	15.800	0.002	0.015000	-0.157000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:02 AM	14.700	0.001	0.014000	-0.158000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:03 AM	12.900	0.001	0.012000	-0.159000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:04 AM	11.400	0.001	0.011000	-0.161000	0	0	0	0.0	-0.0	24
11/10/2024 10:55:05 AM	8.100	0.001	0.007000	-0.164000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:06 AM	1.600	0.000	0.001000	-0.170000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:07 AM	-2.100	-0.000	-0.002000	-0.174000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:08 AM	-8.800	-0.001	-0.008000	-0.180000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:09 AM	-11.100	-0.001	-0.010000	-0.183000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:10 AM	-17.400	-0.002	-0.016000	-0.189000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:11 AM	-12.700	-0.001	-0.012000	-0.184000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:12 AM	-11.200	-0.001	-0.010000	-0.183000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:13 AM	-7.900	-0.001	-0.007000	-0.180000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:14 AM	-6.000	-0.001	-0.005000	-0.178000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:15 AM	-3.200	-0.000	-0.003000	-0.175000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:16 AM	-3.800	-0.000	-0.003000	-0.176000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:17 AM	-4.400	-0.000	-0.004000	-0.176000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:18 AM	-0.600	-0.000	0.000000	-0.173000	0	0	0	0.0	-0.0	24
11/10/2024 10:55:19 AM	-2.500	-0.000	-0.002000	-0.174000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:20 AM	-5.300	-0.001	-0.005000	-0.177000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:21 AM	-5.400	-0.001	-0.005000	-0.177000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:22 AM	-2.700	-0.000	-0.002000	-0.175000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:23 AM	-5.400	-0.001	-0.005000	-0.177000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:24 AM	-3.100	-0.000	-0.003000	-0.175000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:25 AM	-0.700	-0.000	0.000000	-0.173000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:26 AM	2.300	0.000	0.002000	-0.170000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:27 AM	5.400	0.001	0.005000	-0.167000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:28 AM	8.600	0.001	0.008000	-0.164000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:29 AM	12.400	0.001	0.012000	-0.160000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:30 AM	15.400	0.002	0.014000	-0.157000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:31 AM	10.300	0.001	0.009000	-0.162000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:32 AM	10.200	0.001	0.009000	-0.162000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:33 AM	9.100	0.001	0.008000	-0.163000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:34 AM	6.200	0.001	0.006000	-0.166000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:35 AM	4.300	0.000	0.004000	-0.168000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:36 AM	8.400	0.001	0.008000	-0.164000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:37 AM	9.200	0.001	0.008000	-0.163000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:38 AM	8.400	0.001	0.008000	-0.164000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:39 AM	5.900	0.001	0.005000	-0.166000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:40 AM	4.800	0.000	0.004000	-0.167000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:41 AM	4.400	0.000	0.004000	-0.168000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:42 AM	3.500	0.000	0.003000	-0.168000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:43 AM	6.800	0.001	0.006000	-0.165000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:44 AM	9.100	0.001	0.008000	-0.163000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:45 AM	9.100	0.001	0.008000	-0.163000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:46 AM	11.200	0.001	0.010000	-0.161000	0	0	0	0.0	-0.0	24
11/10/2024 10:55:47 AM	12.800	0.001	0.012000	-0.160000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:48 AM	11.000	0.001	0.010000	-0.161000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:49 AM	6.100	0.001	0.005000	-0.166000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:50 AM	1.300	0.000	0.001000	-0.171000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:51 AM	0.000	0.000	0.000000	-0.172000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:52 AM	-2.800	-0.000	-0.002000	-0.175000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:53 AM	-5.000	-0.001	-0.004000	-0.177000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:54 AM	-4.400	-0.000	-0.004000	-0.176000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:55 AM	-5.200	-0.001	-0.005000	-0.177000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:56 AM	-5.200	-0.001	-0.005000	-0.177000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:57 AM	-6.900	-0.001	-0.006000	-0.179000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:58 AM	-9.100	-0.001	-0.008000	-0.181000	0	0	0	0.0	-0.1	24
11/10/2024 10:55:59 AM	-6.700	-0.001	-0.006000	-0.178000	0	0	0	0.0	-0.0	24
11/10/2024 10:56:00 AM	-3.500	-0.000	-0.003000	-0.175000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:01 AM	-3.700	-0.000	-0.003000	-0.176000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:02 AM	-4.600	-0.000	-0.004000	-0.176000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:03 AM	-3.100	-0.000	-0.003000	-0.175000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:04 AM	-3.800	-0.000	-0.003000	-0.176000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:05 AM	-3.500	-0.000	-0.003000	-0.175000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:06 AM	-2.800	-0.000	-0.002000	-0.175000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:07 AM	-6.900	-0.001	-0.006000	-0.179000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:08 AM	-7.500	-0.001	-0.007000	-0.179000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:09 AM	-2.300	-0.000	-0.002000	-0.174000	0	0	0	0.0	-0.0	24
11/10/2024 10:56:10 AM	3.800	0.000	0.003000	-0.168000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:11 AM	7.800	0.001	0.007000	-0.164000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:12 AM	10.400	0.001	0.010000	-0.162000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:13 AM	11.800	0.001	0.011000	-0.160000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:14 AM	11.000	0.001	0.010000	-0.161000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:15 AM	9.900	0.001	0.009000	-0.162000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:16 AM	5.100	0.001	0.004000	-0.167000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:17 AM	9.900	0.001	0.009000	-0.162000	0	0	0	0.0	-0.0	24
11/10/2024 10:56:18 AM	12.400	0.001	0.012000	-0.160000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:19 AM	14.100	0.001	0.013000	-0.158000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:20 AM	13.500	0.001	0.013000	-0.159000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:21 AM	18.800	0.002	0.018000	-0.154000	0	0	0	0.0	-0.0	24
11/10/2024 10:56:22 AM	17.800	0.002	0.017000	-0.155000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:23 AM	15.700	0.002	0.015000	-0.157000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:24 AM	16.800	0.002	0.016000	-0.156000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:25 AM	17.400	0.002	0.016000	-0.155000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:26 AM	15.100	0.002	0.014000	-0.157000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:27 AM	18.900	0.002	0.018000	-0.154000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:28 AM	23.100	0.002	0.022000	-0.149000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:29 AM	21.200	0.002	0.020000	-0.151000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:30 AM	18.800	0.002	0.018000	-0.154000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:31 AM	14.000	0.001	0.013000	-0.158000	0	0	0	0.0	-0.0	24
11/10/2024 10:56:32 AM	7.200	0.001	0.006000	-0.165000	0	0	0	0.0	-0.0	24
11/10/2024 10:56:33 AM	7.000	0.001	0.006000	-0.165000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:34 AM	8.500	0.001	0.008000	-0.164000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:35 AM	7.700	0.001	0.007000	-0.164000	0	0	0	0.0	-0.0	24
11/10/2024 10:56:36 AM	11.500	0.001	0.011000	-0.161000	0	0	0	0.0	-0.0	24
11/10/2024 10:56:37 AM	7.300	0.001	0.007000	-0.165000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:38 AM	8.100	0.001	0.007000	-0.164000	0	0	0	0.0	-0.0	24
11/10/2024 10:56:39 AM	9.800	0.001	0.009000	-0.162000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:40 AM	7.100	0.001	0.006000	-0.165000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:41 AM	1.000	0.000	0.000000	-0.171000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:42 AM	2.600	0.000	0.002000	-0.169000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:43 AM	4.000	0.000	0.003000	-0.168000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:44 AM	9.300	0.001	0.009000	-0.163000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:45 AM	12.600	0.001	0.012000	-0.160000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:46 AM	7.900	0.001	0.007000	-0.164000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:47 AM	3.400	0.000	0.003000	-0.169000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:48 AM	1.200	0.000	0.001000	-0.171000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:49 AM	1.300	0.000	0.001000	-0.171000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:50 AM	5.100	0.001	0.004000	-0.167000	0	0	0	0.0	-0.0	24
11/10/2024 10:56:51 AM	6.800	0.001	0.006000	-0.165000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:52 AM	12.700	0.001	0.012000	-0.160000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:53 AM	12.700	0.001	0.012000	-0.160000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:54 AM	11.500	0.001	0.011000	-0.161000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:55 AM	11.600	0.001	0.011000	-0.161000	0	0	0	0.0	-0.0	24
11/10/2024 10:56:56 AM	9.600	0.001	0.009000	-0.163000	0	0	0	0.0	-0.0	24
11/10/2024 10:56:57 AM	11.000	0.001	0.010000	-0.161000	0	0	0	0.0	-0.1	24
11/10/2024 10:56:58 AM	6.800	0.001	0.006000	-0.165000	0	0	0	0.0	-0.1	23
11/10/2024 10:56:59 AM	4.000	0.000	0.003000	-0.168000	0	0	0	0.0	-0.0	24
11/10/2024 10:57:00 AM	5.200	0.001	0.005000	-0.167000	0	0	0	0.0	-0.1	23
11/10/2024 10:57:01 AM	8.200	0.001	0.008000	-0.164000	0	0	0	0.0	-0.1	24
11/10/2024 10:57:02 AM	8.500	0.001	0.008000	-0.164000	0	0	0	0.0	-0.1	24
11/10/2024 10:57:03 AM	6.100	0.001	0.005000	-0.166000	0	0	0	0.0	-0.0	24
11/10/2024 10:57:04 AM	0.700	0.000	0.000000	-0.171000	0	0	0	0.0	-0.0	24
11/10/2024 10:57:05 AM	0.400	0.000	0.000000	-0.171000	0	0	0	0.0	-0.1	24
11/10/2024 10:57:06 AM	4.000	0.000	0.003000	-0.168000	0	0	0	0.0	-0.1	24
11/10/2024 10:57:07 AM	5.700	0.001	0.005000	-0.166000	0	0	0	0.0	-0.1	24
11/10/2024 10:57:08 AM	6.900	0.001	0.006000	-0.165000	0	0	0	0.0	-0.0	24
11/10/2024 10:57:09 AM	4.800	0.000	0.004000	-0.167000	0	0	0	0.0	-0.0	23
11/10/2024 10:57:10 AM	4.800	0.000	0.004000	-0.167000	0	0	0	0.0	-0.1	23
11/10/2024 10:57:11 AM	3.700	0.000	0.003000	-0.168000	0	0	0	0.0	-0.1	23
11/10/2024 10:57:12 AM	1.200	0.000	0.001000	-0.171000	0	0	0	0.0	-0.1	23
11/10/2024 10:57:13 AM	3.800	0.000	0.003000	-0.168000	0	0	0	0.0	-0.0	23
11/10/2024 10:57:14 AM	4.300	0.000	0.004000	-0.168000	0	0	0	0.0	-0.1	23
11/10/2024 10:57:15 AM	7.800	0.001	0.007000	-0.164000	0	0	0	0.0	-0.1	23
11/10/2024 10:57:16 AM	7.000	0.001	0.006000	-0.165000	0	0	0	0.0	-0.1	23
11/10/2024 10:57:17 AM	7.500	0.001	0.007000	-0.165000	0	0	0	0.0	-0.1	23
11/10/2024 10:57:18 AM	10.900	0.001	0.010000	-0.161000	0	0	0	0.0	-0.0	23
11/10/2024 10:57:19 AM	10.600	0.001	0.010000	-0.162000	0	0	0	0.0	-0.1	23
11/10/2024 10:57:20 AM	11.600	0.001	0.011000	-0.161000	0	0	0	0.0	-0.0	23
11/10/2024 10:57:21 AM	12.200	0.001	0.011000	-0.160000	0	0	0	0.0	-0.1	23
11/10/2024 10:57:22 AM	13.200	0.001	0.012000	-0.159000	0	0	0	0.0	-0.1	23
11/10/2024 10:57:23 AM	14.200	0.001	0.013000	-0.158000	0	0	0	0.0	-0.1	23
11/10/2024 10:57:24 AM	14.100	0.001	0.013000	-0.158000	0	0	0	0.0	-0.1	23
11/10/2024 10:57:25 AM	12.600	0.001	0.012000	-0.160000	0	0	0	0.0	-0.1	23
11/10/2024 10:57:26 AM	13.500	0.001	0.013000	-0.159000	0	0	0	0.0	-0.1	23
11/10/2024 10:57:27 AM	15.600	0.002	0.015000	-0.157000	0	0	0	0.0	-0.1	24
11/10/2024 10:57:28 AM	17.900	0.002	0.017000	-0.155000	0	0	0	0.0	-0.1	24
11/10/2024 10:57:29 AM	20.700	0.002	0.020000	-0.152000	0	0	0	0.0	-0.1	24
11/10/2024 10:57:30 AM	17.400	0.002	0.016000	-0.155000	0	0	0	0.0	-0.1	24
11/10/2024 10:57:31 AM	18.200	0.002	0.017000	-0.154000	0	0	0	0.0	-0.1	24
11/10/2024 10:57:32 AM	19.200	0.002	0.018000	-0.153000	0	0	0	0.0	-0.1	24
11/10/2024 10:57:33 AM	14.800	0.001	0.014000	-0.158000	0	0	0	0.0	-0.0	24
11/10/2024 10:57:34 AM	10.000	0.001	0.009000	-0.162000	0	0	0	0.0	-0.1	24
11/10/2024 10:57:35 AM	8.200	0.001	0.008000	-0.164000	0	0	0	0.0	-0.1	24
11/10/2024 10:57:36 AM	9.700	0.001	0.009000	-0.162000	0	0	0	0.0	-0.1	24
11/10/2024 10:57:37 AM	8.300	0.001	0.008000	-0.164000	0	0	0	0.0	-0.1	24
11/10/2024 10:57:38 AM	4.800	0.000	0.004000	-0.167000	0	0	0	0.0	-0.0	24
11/10/2024 10:57:39 AM	8.200	0.001	0.008000	-0.164000	0	0	0	0.0	-0.0	24
11/10/2024 10:57:40 AM	8.400	0.001	0.008000	-0.164000	0	0	0	0.0	-0.0	24
11/10/2024 10:57:41 AM	6.100	0.001	0.005000	-0.166000	0	0	0	0.0	-0.0	24
11/10/2024 10:57:42 AM	5.800	0.001	0.005000	-0.166000	0	0	0	0.0	-0.1	24
11/10/2024 10:57:43 AM	4.700	0.000	0.004000	-0.167000	0	0	0	0.0	-0.1	24
11/10/2024 10:57:44 AM	4.500	0.000	0.004000	-0.168000	0	0	0	0.0	-0.0	24
11/10/2024 10:57:45 AM	4.900	0.000	0.004000	-0.167000	0	0	0	0.0	-0.1	24
11/10/2024 10:57:46 AM	2.700	0.000	0.002000	-0.169000	0	0	0	0.0	-0.1	24
11/10/2024 10:57:47 AM	0.600	0.000	0.000000	-0.171000	0	0	0	0.0	-0.1	24
11/10/2024 10:57:48 AM	0.100	0.000	0.000000	-0.172000	0	0	0	0.0	-0.0	24
11/10/2024 10:57:49 AM	-0.800	-0.000	0.000000	-0.173000	0	0	0	0.0	-0.0	24
11/10/2024 10:57:50 AM	-5.800	-0.001	-0.005000	-0.178000	0	0	0	0.0	-0.0	24
11/10/2024 10:57:51 AM	-8.000	-0.001	-0.007000	-0.180000	0	0	0	0.0	-0.0	24
